"date","browser","browser_version","visitors","visits","visit_duration","bounces","pageviews"
"2026-04-16","Safari","26.0",1,1,0,1,1
"2026-04-16","Chrome","138.0",1,1,0,1,1
"2026-04-16","Brave","",2,2,0,2,2
"2026-04-16","Firefox","115.0",1,1,0,1,1
"2026-04-16","Chrome","91.0",1,1,0,1,1
"2026-04-16","Chrome","145.0",3,3,0,3,3
"2026-04-16","Android Browser","",3,3,0,3,3
"2026-04-16","","",2,2,0,2,2
"2026-04-17","Mobile App","",3,3,0,3,3
"2026-04-17","Firefox","142.0",1,1,0,1,1
"2026-04-17","Chrome","142.0",1,1,0,1,1
"2026-04-17","Chrome","146.0",3,3,2623,2,5
"2026-04-17","vivo Browser","28.8",1,1,0,1,1
"2026-04-17","Chrome","112.0",1,1,0,1,1
"2026-04-17","Chrome","133.0",3,3,0,3,3
"2026-04-17","Chrome","139.0",2,2,0,2,2
"2026-04-17","Microsoft Edge","114.0",1,1,0,1,1
"2026-04-17","","",1,1,0,1,1
"2026-04-17","Samsung Browser","29.0",1,1,0,1,1
"2026-04-17","Safari","26.3",2,3,0,3,3
"2026-04-17","Chrome","145.0",2,2,0,2,2
"2026-04-17","Chrome","91.0",1,1,0,1,1
"2026-04-17","Chrome","147.0",2,2,0,2,2
"2026-04-17","Microsoft Edge","147.0",1,1,0,1,1
"2026-04-17","Safari","26.2",1,1,0,1,1
"2026-04-17","Chrome","138.0",1,1,0,1,1
"2026-04-17","Safari","26.4",1,1,0,1,1
"2026-04-18","Chrome","142.0",3,3,0,3,3
"2026-04-18","Mobile App","",5,5,0,5,5
"2026-04-18","Chrome","146.0",4,4,0,4,4
"2026-04-18","Chrome","110.0",1,1,0,1,1
"2026-04-18","Microsoft Edge","146.0",1,1,0,1,1
"2026-04-18","Chrome","133.0",1,1,0,1,1
"2026-04-18","Safari","26.3",1,1,0,1,1
"2026-04-18","Chrome","105.0",2,2,0,2,2
"2026-04-18","Chrome","131.0",1,1,0,1,1
"2026-04-18","","",2,2,0,2,2
"2026-04-18","Android Browser","",1,1,0,1,1
"2026-04-18","Chrome","147.0",5,5,2675,3,11
"2026-04-18","Safari","26.4",1,1,0,1,1
"2026-04-18","Chrome","106.0",2,2,0,2,2
"2026-04-19","Chrome","146.0",6,7,45,4,12
"2026-04-19","Mobile App","",5,5,0,5,5
"2026-04-19","Chrome","142.0",5,5,1,3,8
"2026-04-19","Chrome","124.0",1,1,0,1,1
"2026-04-19","Chrome","131.0",1,1,0,1,1
"2026-04-19","Safari","18.5",2,2,0,2,2
"2026-04-19","Safari","18.7",1,1,0,1,1
"2026-04-19","Chrome","147.0",3,3,0,3,3
"2026-04-19","Microsoft Edge","146.0",1,1,0,1,1
"2026-04-19","Safari","26.4",4,4,0,4,4
"2026-04-19","Chrome","138.0",2,2,0,2,2
"2026-04-20","Chrome","146.0",1,1,0,1,1
"2026-04-20","Chrome","116.0",1,1,0,1,1
"2026-04-20","Chrome","142.0",5,5,0,5,5
"2026-04-20","Mobile App","",4,4,0,4,4
"2026-04-20","","",1,2,0,2,2
"2026-04-20","Chrome","133.0",1,1,0,1,1
"2026-04-20","Microsoft Edge","147.0",4,5,465,4,6
"2026-04-20","Chrome","103.0",1,1,0,1,1
"2026-04-20","Chrome","131.0",2,2,0,2,2
"2026-04-20","Safari","26.3",1,1,0,1,1
"2026-04-20","Chrome","105.0",1,1,0,1,1
"2026-04-20","Chrome","147.0",3,3,0,3,3
"2026-04-20","Chrome","117.0",1,1,0,1,1
"2026-04-20","Chrome","104.0",1,1,0,1,1
